"site","year","site_year","peak_date"
"ALN",2014,"ALN 2014",148
"ALN",2015,"ALN 2015",156
"ALN",2016,"ALN 2016",154
"ALN",2017,"ALN 2017",147
"ALN",2018,"ALN 2018",147
"ALN",2019,"ALN 2019",144
"ART",2016,"ART 2016",157
"ART",2017,"ART 2017",150
"ART",2018,"ART 2018",150
"ART",2019,"ART 2019",143
"ART",2021,"ART 2021",156
"AVI",2014,"AVI 2014",151
"AVI",2015,"AVI 2015",161
"AVI",2016,"AVI 2016",158
"AVI",2017,"AVI 2017",148
"AVI",2018,"AVI 2018",150
"AVI",2019,"AVI 2019",147
"AVI",2021,"AVI 2021",161
"AVN",2015,"AVN 2015",165
"AVN",2016,"AVN 2016",162
"AVN",2017,"AVN 2017",154
"AVN",2018,"AVN 2018",155
"AVN",2019,"AVN 2019",150
"AVN",2021,"AVN 2021",166
"BAD",2014,"BAD 2014",156
"BAD",2017,"BAD 2017",151
"BAD",2018,"BAD 2018",156
"BAD",2019,"BAD 2019",150
"BAD",2020,"BAD 2020",152
"BAD",2021,"BAD 2021",160
"BIR",2014,"BIR 2014",150
"BIR",2016,"BIR 2016",157
"BIR",2017,"BIR 2017",146
"BIR",2019,"BIR 2019",145
"BIR",2020,"BIR 2020",148
"BIR",2021,"BIR 2021",158
"BLA",2014,"BLA 2014",158
"BLA",2015,"BLA 2015",168
"BLA",2016,"BLA 2016",164
"BLA",2017,"BLA 2017",156
"BLA",2018,"BLA 2018",158
"BLA",2019,"BLA 2019",152
"BLA",2020,"BLA 2020",155
"BLA",2021,"BLA 2021",165
"BLG",2014,"BLG 2014",149
"BLG",2015,"BLG 2015",157
"BLG",2016,"BLG 2016",154
"BLG",2017,"BLG 2017",146
"BLG",2018,"BLG 2018",150
"BLG",2019,"BLG 2019",142
"BLG",2020,"BLG 2020",146
"BLG",2021,"BLG 2021",150
"CAL",2014,"CAL 2014",155
"CAL",2015,"CAL 2015",165
"CAL",2016,"CAL 2016",161
"CAL",2017,"CAL 2017",153
"CAL",2018,"CAL 2018",157
"CAL",2019,"CAL 2019",150
"CAL",2020,"CAL 2020",154
"CAL",2021,"CAL 2021",162
"CAR",2014,"CAR 2014",156
"CAR",2015,"CAR 2015",167
"CAR",2016,"CAR 2016",164
"CAR",2017,"CAR 2017",155
"CAR",2018,"CAR 2018",158
"CAR",2019,"CAR 2019",153
"CAR",2021,"CAR 2021",163
"CRU",2014,"CRU 2014",158
"CRU",2015,"CRU 2015",168
"CRU",2016,"CRU 2016",165
"CRU",2017,"CRU 2017",155
"CRU",2018,"CRU 2018",159
"CRU",2019,"CRU 2019",154
"CRU",2021,"CRU 2021",166
"DAV",2014,"DAV 2014",152
"DAV",2015,"DAV 2015",163
"DAV",2016,"DAV 2016",159
"DAV",2017,"DAV 2017",152
"DAV",2018,"DAV 2018",153
"DAV",2019,"DAV 2019",151
"DAV",2021,"DAV 2021",161
"DEL",2014,"DEL 2014",151
"DEL",2015,"DEL 2015",158
"DEL",2016,"DEL 2016",156
"DEL",2017,"DEL 2017",151
"DEL",2018,"DEL 2018",151
"DEL",2019,"DEL 2019",146
"DLW",2014,"DLW 2014",161
"DLW",2015,"DLW 2015",171
"DLW",2016,"DLW 2016",166
"DLW",2017,"DLW 2017",157
"DLW",2018,"DLW 2018",163
"DLW",2019,"DLW 2019",158
"DNC",2014,"DNC 2014",165
"DNC",2015,"DNC 2015",175
"DNC",2016,"DNC 2016",168
"DNC",2017,"DNC 2017",161
"DNC",2018,"DNC 2018",165
"DNC",2019,"DNC 2019",161
"DNC",2020,"DNC 2020",163
"DNC",2021,"DNC 2021",170
"DNM",2015,"DNM 2015",167
"DNM",2016,"DNM 2016",162
"DNM",2017,"DNM 2017",156
"DNM",2018,"DNM 2018",157
"DNM",2019,"DNM 2019",153
"DNM",2020,"DNM 2020",157
"DNM",2021,"DNM 2021",165
"DNS",2015,"DNS 2015",172
"DNS",2016,"DNS 2016",168
"DNS",2017,"DNS 2017",160
"DNS",2020,"DNS 2020",162
"DNS",2021,"DNS 2021",170
"DOR",2014,"DOR 2014",155
"DOR",2015,"DOR 2015",164
"DOR",2016,"DOR 2016",160
"DOR",2017,"DOR 2017",154
"DOR",2018,"DOR 2018",157
"DOR",2019,"DOR 2019",150
"DOW",2017,"DOW 2017",145
"DOW",2018,"DOW 2018",153
"DOW",2019,"DOW 2019",145
"DOW",2020,"DOW 2020",146
"DOW",2021,"DOW 2021",157
"DUN",2014,"DUN 2014",150
"DUN",2015,"DUN 2015",160
"DUN",2017,"DUN 2017",146
"DUN",2018,"DUN 2018",153
"DUN",2019,"DUN 2019",144
"DUN",2020,"DUN 2020",146
"DUN",2021,"DUN 2021",157
"EDI",2015,"EDI 2015",157
"EDI",2016,"EDI 2016",154
"EDI",2017,"EDI 2017",143
"EDI",2018,"EDI 2018",148
"EDI",2019,"EDI 2019",145
"EDI",2020,"EDI 2020",140
"EDI",2021,"EDI 2021",152
"FOF",2014,"FOF 2014",150
"FOF",2015,"FOF 2015",155
"FOF",2016,"FOF 2016",153
"FOF",2017,"FOF 2017",145
"FOF",2018,"FOF 2018",151
"FOF",2019,"FOF 2019",143
"FOF",2020,"FOF 2020",144
"FOF",2021,"FOF 2021",153
"FOU",2014,"FOU 2014",149
"FOU",2015,"FOU 2015",160
"FOU",2016,"FOU 2016",155
"FOU",2017,"FOU 2017",149
"FOU",2018,"FOU 2018",150
"FOU",2019,"FOU 2019",143
"FSH",2014,"FSH 2014",157
"FSH",2015,"FSH 2015",166
"FSH",2016,"FSH 2016",164
"FSH",2017,"FSH 2017",156
"FSH",2018,"FSH 2018",156
"FSH",2019,"FSH 2019",154
"FSH",2021,"FSH 2021",167
"GLF",2014,"GLF 2014",151
"GLF",2015,"GLF 2015",158
"GLF",2016,"GLF 2016",158
"GLF",2017,"GLF 2017",146
"GLF",2018,"GLF 2018",153
"GLF",2019,"GLF 2019",146
"GLF",2020,"GLF 2020",146
"GLF",2021,"GLF 2021",156
"HWP",2017,"HWP 2017",156
"HWP",2018,"HWP 2018",155
"HWP",2019,"HWP 2019",155
"HWP",2021,"HWP 2021",165
"INS",2014,"INS 2014",152
"INS",2015,"INS 2015",163
"INS",2016,"INS 2016",160
"INS",2017,"INS 2017",150
"INS",2018,"INS 2018",154
"INS",2019,"INS 2019",147
"INS",2021,"INS 2021",161
"KCK",2014,"KCK 2014",151
"KCK",2015,"KCK 2015",159
"KCK",2016,"KCK 2016",158
"KCK",2017,"KCK 2017",146
"KCK",2018,"KCK 2018",151
"KCK",2019,"KCK 2019",146
"KCK",2020,"KCK 2020",148
"KCK",2021,"KCK 2021",156
"KCZ",2015,"KCZ 2015",169
"KCZ",2016,"KCZ 2016",165
"KCZ",2017,"KCZ 2017",157
"KCZ",2018,"KCZ 2018",158
"KCZ",2019,"KCZ 2019",155
"KCZ",2020,"KCZ 2020",156
"KCZ",2021,"KCZ 2021",166
"LVN",2014,"LVN 2014",149
"LVN",2015,"LVN 2015",158
"LVN",2016,"LVN 2016",155
"LVN",2017,"LVN 2017",144
"LVN",2018,"LVN 2018",151
"LVN",2019,"LVN 2019",143
"LVN",2020,"LVN 2020",144
"LVN",2021,"LVN 2021",153
"MCH",2014,"MCH 2014",145
"MCH",2016,"MCH 2016",153
"MCH",2017,"MCH 2017",141
"MCH",2018,"MCH 2018",148
"MCH",2019,"MCH 2019",140
"MCH",2020,"MCH 2020",141
"MCH",2021,"MCH 2021",148
"MUN",2014,"MUN 2014",152
"MUN",2015,"MUN 2015",162
"MUN",2016,"MUN 2016",158
"MUN",2017,"MUN 2017",153
"MUN",2018,"MUN 2018",154
"MUN",2019,"MUN 2019",149
"MUN",2021,"MUN 2021",162
"NEW",2014,"NEW 2014",154
"NEW",2015,"NEW 2015",166
"NEW",2016,"NEW 2016",161
"NEW",2017,"NEW 2017",155
"NEW",2018,"NEW 2018",155
"NEW",2019,"NEW 2019",151
"NEW",2021,"NEW 2021",161
"OSP",2017,"OSP 2017",153
"OSP",2018,"OSP 2018",154
"OSP",2019,"OSP 2019",149
"PIT",2017,"PIT 2017",148
"PIT",2018,"PIT 2018",152
"PIT",2019,"PIT 2019",146
"PIT",2020,"PIT 2020",152
"PIT",2021,"PIT 2021",160
"PTH",2014,"PTH 2014",149
"PTH",2015,"PTH 2015",158
"PTH",2017,"PTH 2017",147
"PTH",2018,"PTH 2018",151
"PTH",2019,"PTH 2019",140
"PTH",2020,"PTH 2020",144
"PTH",2021,"PTH 2021",154
"RSY",2015,"RSY 2015",155
"RSY",2016,"RSY 2016",153
"RSY",2017,"RSY 2017",142
"RSY",2018,"RSY 2018",148
"RSY",2019,"RSY 2019",142
"RSY",2020,"RSY 2020",141
"RSY",2021,"RSY 2021",151
"RTH",2015,"RTH 2015",165
"RTH",2016,"RTH 2016",163
"RTH",2017,"RTH 2017",155
"RTH",2019,"RTH 2019",151
"RTH",2021,"RTH 2021",163
"SER",2015,"SER 2015",154
"SER",2016,"SER 2016",154
"SER",2017,"SER 2017",143
"SER",2018,"SER 2018",148
"SER",2019,"SER 2019",138
"SER",2020,"SER 2020",141
"SER",2021,"SER 2021",150
"SLS",2015,"SLS 2015",169
"SLS",2016,"SLS 2016",166
"SLS",2017,"SLS 2017",156
"SLS",2018,"SLS 2018",159
"SLS",2019,"SLS 2019",155
"SLS",2021,"SLS 2021",166
"SPD",2015,"SPD 2015",165
"SPD",2016,"SPD 2016",162
"SPD",2017,"SPD 2017",155
"SPD",2018,"SPD 2018",158
"STY",2014,"STY 2014",149
"STY",2015,"STY 2015",157
"STY",2016,"STY 2016",154
"STY",2017,"STY 2017",144
"STY",2018,"STY 2018",150
"STY",2019,"STY 2019",144
"STY",2020,"STY 2020",143
"STY",2021,"STY 2021",152
"TAI",2014,"TAI 2014",150
"TAI",2016,"TAI 2016",157
"TAI",2017,"TAI 2017",151
"TAI",2018,"TAI 2018",152
"TAI",2019,"TAI 2019",145
"TOM",2017,"TOM 2017",157
"TOM",2018,"TOM 2018",158
"TOM",2019,"TOM 2019",155
"TOM",2021,"TOM 2021",164
